sigma_rate,exp_b,beta
0.95117885,1.8504268,2.4797118
0.8157107,1.9283209,2.3637707
0.8470039,1.9141488,2.3000085
0.8263113,1.9599837,2.4946418
0.8800483,2.0741796,2.3728166
0.9146754,1.7709802,2.4778912
1.0154685,1.9439389,2.4941025
0.73275274,1.8110095,2.3440032
0.8573772,2.167323,2.4027193
0.7983089,1.9019192,2.434857
0.89912105,1.9002333,2.4848242
0.79470736,1.8675826,2.3798802
0.89641875,1.9939182,2.408019
0.8420292,1.8651991,2.4373817
0.7867849,1.9086727,2.3404422
0.85797924,1.966762,2.369691
0.8546795,2.0021174,2.352201
0.80509955,1.8006295,2.4302435
0.89016473,1.7943177,2.3699386
1.0319694,2.0045152,2.5380006
0.70240676,1.972686,2.3581812
0.9532005,1.9148455,2.4583344
0.8348904,1.9711244,2.3820727
0.8148484,1.8557659,2.4616146
0.73802954,1.8767108,2.4115975
0.8167156,1.872064,2.4738028
1.0210538,1.9837006,2.5270672
0.8285024,1.9885689,2.470701
0.85272485,2.2608228,2.3898084
0.7782336,2.2125015,2.3553839
0.7914947,1.8214,2.430495
0.9009684,2.0379517,2.5024312
0.89750475,1.9675235,2.3777897
0.9395079,1.9764907,2.4317214
0.8712426,1.9210593,2.4892476
0.90342236,1.8972538,2.4396281
0.7462048,1.694318,2.4953606
0.9177705,1.8790921,2.453998
0.78410834,1.8232628,2.3959308
0.8689953,2.1484416,2.4712663
0.9740406,1.9945339,2.5005534
0.809556,2.1140282,2.3392549
0.7540754,1.9392743,2.4081876
0.7400156,1.912483,2.33086
0.80119926,1.9430364,2.4857938
0.9878231,2.1787148,2.4219615
0.74277765,1.8471926,2.3968363
0.85001063,1.9789939,2.472944
0.85897243,1.9825078,2.453762
0.8154833,2.1253223,2.5200968
0.8201536,1.9704514,2.5066652
0.8557376,1.9163793,2.3498878
0.8897084,1.7413954,2.4734404
0.75894386,1.8902979,2.3808444
0.67204714,1.6881884,2.353198
0.84023935,1.7725968,2.4590573
0.9852325,2.0782375,2.5732183
0.88004154,2.0968268,2.4757745
0.84737426,1.9782206,2.4428246
0.8852204,1.8308076,2.5677278
0.87447613,1.9491342,2.5826094
0.8069585,1.6821461,2.403849
0.7003714,1.8138235,2.366519
0.78232425,1.811623,2.4398568
0.8113697,1.844342,2.463696
0.79838663,1.9444052,2.3899908
0.81143737,1.918471,2.480185
0.8857043,2.1717296,2.4371748
0.8645391,1.7674019,2.4915109
0.9213115,1.8471217,2.5199058
0.9116396,1.8737264,2.4002223
0.8030223,1.9195426,2.4415722
0.8805649,1.8207562,2.3610334
0.7901241,2.023423,2.404226
0.8834487,1.8730503,2.416945
0.8020735,1.9714628,2.2705534
0.8772626,1.893906,2.532573
0.8626592,1.851199,2.4077766
0.9456637,1.972464,2.5068192
0.9450262,1.9303962,2.5182989
0.7883037,1.8202143,2.398135
0.9044206,1.7858646,2.4087994
0.88568366,2.0592928,2.4755223
0.8880321,1.987628,2.3844402
0.8947433,2.003216,2.4365785
0.82332045,2.1545794,2.445698
0.7531096,2.193368,2.3240945
0.8904521,2.084027,2.4680526
0.75638014,1.7022151,2.4654222
0.7802816,1.9511573,2.4391406
0.67892253,1.9421123,2.524521
0.92143273,1.8764156,2.4424071
0.79590327,2.0611973,2.4755595
0.79284686,1.9800245,2.3838127
0.7884701,2.2248044,2.3885272
0.83092874,2.2667823,2.4262319
0.7300163,1.8561842,2.4177315
0.89112926,2.0379825,2.4415147
0.9272681,1.980213,2.5132527
0.80366164,1.8596026,2.3506508
0.8013312,2.001251,2.39394
0.891879,1.9156061,2.4009666
0.8467249,1.842429,2.4921277
0.8851665,1.8587072,2.4202769
0.8252146,1.9531397,2.4739225
1.0089152,1.9293379,2.462758
0.7260205,1.9907007,2.3689764
0.9392346,1.7083805,2.5451794
0.89347667,1.8749226,2.4691038
0.857811,2.1070523,2.3659627
0.7959022,1.8628725,2.4905968
0.874423,1.6598065,2.3983638
0.7012363,1.9181664,2.313112
0.9385941,1.8324169,2.555639
0.6386105,1.9241483,2.356695
0.9680618,2.0330029,2.5062506
0.82243395,2.269669,2.4837785
0.79802567,1.8446398,2.3369155
0.76047313,2.1170204,2.3967767
0.85542035,1.7913724,2.4564283
0.9185924,1.8628983,2.4839609
0.7308713,1.7550068,2.3958714
0.9700995,1.8702469,2.5232446
0.88341695,1.8553293,2.4379115
0.77434796,1.9588282,2.3990967
0.91091824,1.9665031,2.4729285
0.8884377,1.8628789,2.5467358
0.6948037,1.864699,2.460531
0.92203766,1.9911695,2.5020278
0.91939974,1.9707583,2.5066667
0.7939567,1.7528613,2.4730325
0.86503786,1.8172772,2.4627533
0.76140803,1.8646332,2.4174993
0.7226906,1.7441964,2.483494
0.82708025,2.01129,2.4008603
0.8734739,1.8719695,2.4885607
0.88257957,2.0062003,2.3497498
0.89868873,1.8334473,2.4468076
0.8975256,1.853262,2.4735687
0.73208565,1.9201777,2.4170763
0.7481645,1.7203935,2.44965
0.79848105,2.0018892,2.4507878
0.87643516,1.9434783,2.4801223
0.8327713,1.994043,2.457855
0.8402267,1.9952178,2.4329805
0.86981255,1.8586595,2.5463247
0.91177213,1.8081014,2.3835435
0.7707201,2.057914,2.3570766
0.817691,1.8996868,2.3755186
0.8355367,1.6763855,2.5356486
0.90107846,1.9660362,2.46996
0.775391,2.066558,2.4257476
0.845907,2.0945284,2.5076013
0.7154657,1.9669391,2.351319
0.9313103,2.0101552,2.594806
0.9391994,1.8238004,2.42587
0.7939148,1.7597402,2.4673705
0.7647325,1.90028,2.5746343
0.8818292,1.6802351,2.5101023
0.8658436,1.9082396,2.4455457
0.83559066,2.2069993,2.4375832
0.7347201,2.1284065,2.4086142
0.95075905,1.7882327,2.4467924
0.76795495,2.03656,2.3890207
0.9501541,1.7976791,2.4933224
0.84157044,1.9545317,2.3368092
0.85281396,2.0107896,2.372319
0.79724735,2.0654035,2.3795383
0.9445127,1.7487578,2.548697
0.902004,1.9522964,2.4455464
