sigma_rate,exp_b,beta
1.2230927,1.7068436,2.336232
1.2619455,1.6046892,2.3753533
1.0979538,1.6889111,2.3804345
1.0360941,1.6285143,2.4754596
1.1579194,1.5842746,2.2291858
1.1830634,1.540556,2.3672833
1.0436624,1.5865904,2.3973637
1.2026492,1.5074584,2.3503494
1.2280809,1.6116827,2.3696
1.1325722,1.7815607,2.316504
1.277086,1.5461165,2.2180471
1.1294304,1.6190307,2.3761227
1.2318369,1.8786271,2.3550322
1.2438871,1.666016,2.3666806
1.1574506,1.582235,2.4171712
1.2223504,1.6496493,2.2888916
1.1656901,1.6471764,2.2515275
1.1787994,1.7407472,2.3655105
1.2249885,1.5063865,2.366969
1.0806893,1.8418981,2.4480438
1.1335945,1.6632365,2.262845
1.240233,1.7581794,2.3731728
1.2405568,1.6906828,2.2895153
1.048138,1.7256306,2.4686766
1.142966,1.6012747,2.3312728
1.1671605,1.6773294,2.412327
1.248226,1.7493765,2.3433917
1.1448498,1.6388276,2.3838434
1.178185,1.6096644,2.353403
1.0791112,1.6417379,2.344124
1.1491385,1.8007526,2.3276145
1.0586951,1.676453,2.392027
1.3091956,1.5373194,2.284222
1.2517418,1.5951644,2.4013467
1.2035483,1.6810222,2.2939844
1.2432595,1.4287473,2.2990882
1.1581123,1.7410414,2.384921
1.1507852,1.8423184,2.270877
1.2058166,1.7065694,2.314986
1.1899346,1.4577284,2.3807611
1.3010393,1.6831248,2.3058698
1.1992725,1.4612917,2.3947031
1.0463352,1.7350423,2.365991
1.1384773,1.754113,2.3939402
1.2555918,1.5483166,2.283075
1.1685412,1.760989,2.3173916
1.1192149,1.816391,2.3836005
1.2089576,1.672059,2.1646478
1.288797,1.6627544,2.2334101
1.3461089,1.4683014,2.3571155
1.0391848,1.6909863,2.4311643
1.1896187,1.7781606,2.4127297
1.2160668,1.6180977,2.3267632
1.1984979,1.6588008,2.2920475
1.1714405,1.6667036,2.328686
1.2425463,1.5871946,2.3609111
1.259568,1.5161167,2.2832878
1.149476,1.5756814,2.351647
1.1865203,1.7417295,2.345568
1.1805217,1.7929866,2.31947
1.1060266,1.6860515,2.3560967
1.2257366,1.7032481,2.214891
1.0758358,1.6732217,2.298523
1.1642658,1.6620903,2.3268514
1.2079614,1.6487261,2.3186762
1.1208138,1.7164502,2.3447406
1.1435784,1.6791965,2.2897704
1.1470643,1.6402706,2.401995
1.2070174,1.6523815,2.3925653
1.0252643,1.8220072,2.4703577
1.1758287,1.6883664,2.1647122
1.2874253,1.5380268,2.2962468
1.2825456,1.4974973,2.2902374
1.1947718,1.6431993,2.3901272
1.1450979,1.6930095,2.419321
1.1380134,1.6478723,2.342648
1.2655398,1.7024105,2.3914328
1.1250799,1.7315974,2.3260891
1.0819879,1.8091813,2.3243797
1.1164576,1.8551227,2.3426654
1.1548513,1.6774384,2.3210475
1.0652775,1.922529,2.3968925
1.1802865,1.5399151,2.2790647
1.1896307,1.5634826,2.2772713
1.1257262,1.5784748,2.3961904
1.1301324,1.5361998,2.3185782
1.1769105,1.7381696,2.4062657
1.0304533,1.7142543,2.4282782
1.145362,1.624227,2.353329
1.2418083,1.6215026,2.2455387
1.1534287,1.596077,2.1999607
1.243242,1.7507782,2.3084507
1.1596723,1.6153827,2.3510764
1.1002551,1.6379539,2.333158
1.1752594,1.6578327,2.3228552
1.2229891,1.6285342,2.374307
1.1884052,1.6981654,2.4267206
1.1667601,1.6591098,2.3095505
1.2991191,1.4979525,2.2742977
1.2657049,1.6005101,2.3382006
1.2734996,1.6292691,2.210802
