sigma_rate,exp_b,beta
0.05440245,2.2983315,3.0087821
-0.035018176,2.3516018,2.9324274
-0.041013923,2.720089,2.9529443
0.10004556,2.2915294,2.905186
-0.0268889,2.3674297,2.9697096
0.007122548,2.503244,2.962058
0.101635695,2.573887,2.8802564
0.021473194,2.5494473,2.9939475
-0.025578104,2.518907,2.9757025
-0.0045601157,2.4456222,2.8934023
0.09036165,2.2847931,2.900457
-0.0387267,2.5362618,2.9364583
0.050206784,2.5432518,2.8727038
0.03959659,2.4089417,2.892576
0.013620866,2.6045325,2.9070568
-0.0426109,2.6295896,2.9114392
-0.075355574,2.3918176,3.0606787
0.0072028153,2.3794851,3.0169725
0.007823376,2.651485,3.0079618
0.04927082,2.4453397,2.9226894
0.061311703,2.4398396,2.866004
-0.030525751,2.4507973,2.9605541
0.009643327,2.3055995,2.8587165
0.026253778,2.7080772,3.0860822
0.05125357,2.4022894,2.897613
0.03838184,2.6945395,2.9581478
-0.024669107,2.4319384,2.910798
-0.011495308,2.319738,2.8998835
-0.060714163,2.6430838,2.9108763
0.008171294,2.5383143,3.0346868
0.04665361,2.3152182,2.9244773
0.09489943,2.5971184,3.08054
-0.0026219347,2.288893,2.9276392
0.056895323,2.614378,3.0444174
0.07681864,2.606285,3.0255513
-0.03021542,2.6611178,3.08232
0.10130568,2.6464884,3.0589583
-0.007827732,2.3660727,2.936545
0.035961926,2.4023316,2.8678684
-0.05164937,2.526348,3.0662482
0.049264237,2.2202559,2.9437323
0.03198048,2.4211457,2.9253714
-0.05776959,2.7022083,3.0077555
-0.05649084,2.3530993,3.0471718
-0.021262765,2.5772867,2.9115615
-0.042600572,2.3058367,2.8995557
0.05206253,2.7441971,2.9468536
0.082898304,2.3516443,3.048133
-0.0054730168,2.3981695,2.8252923
0.1106771,2.6059334,2.9581654
-0.0067155985,2.2596037,2.9798229
0.006446207,2.5053015,2.9801023
-0.024470802,2.342303,2.8776028
-0.027790554,2.358239,2.9576805
0.045364875,2.1779695,2.936522
-0.03295049,2.5604582,2.9298353
0.0038678944,2.3437028,2.953702
0.051691115,2.565341,2.9467986
0.075869866,2.5390751,2.9320016
0.05384352,2.4141948,2.8814816
-0.01932102,2.5225146,2.9977643
0.046534605,2.7966561,2.931223
0.08458156,2.5992696,3.0087204
