sigma_rate,exp_a,exp_b,beta
0.3540223,-1.0379746,0.8415196,2.423544
0.30633998,-1.1013542,0.6789777,2.5038545
0.27819052,-0.95978075,0.84943444,2.5917482
0.31158632,-1.0515798,0.7781522,2.620659
0.25495666,-0.95293784,1.0510516,2.6025102
0.2928723,-1.182812,0.8268782,2.4670331
0.30917603,-1.00435,0.83877295,2.464994
0.29996216,-1.0398093,0.89274806,2.554097
0.41823232,-0.974331,0.76911867,2.525548
0.2887702,-0.99655885,0.8061087,2.5047255
0.39968655,-0.8531726,0.76338553,2.6742842
0.28856152,-1.0642499,0.86073476,2.4707832
0.41625363,-0.8588557,0.97274846,2.7396588
0.28778082,-1.0068175,0.6943982,2.6123753
0.3341844,-1.0392351,0.9152649,2.4616268
0.28143138,-1.1265129,0.97898746,2.4502847
0.30570713,-1.1736752,0.63659173,2.3507197
0.33545923,-1.0575469,0.67781556,2.5319545
0.31739986,-1.0773827,0.7589613,2.4744372
0.3655069,-0.96549916,0.7678877,2.6482697
0.37922004,-1.1086519,0.8774281,2.5528386
0.2912699,-1.0382273,0.7277435,2.4995584
0.39517686,-1.0147406,0.9811237,2.4266298
0.2733964,-1.0002096,0.9556715,2.6559026
0.23277545,-0.94008297,1.0091903,2.7171035
0.35933053,-0.9346818,0.9509697,2.5842705
0.2605426,-1.153749,0.68697375,2.5428607
0.30144605,-0.9741605,0.7795665,2.3783727
0.32588142,-1.189475,0.50661004,2.4179413
0.31573668,-1.0563806,0.7861702,2.5487618
0.34113845,-1.0538188,0.677858,2.37132
0.2896156,-0.99427444,0.807003,2.683209
0.31709117,-1.0629985,0.72721004,2.4820845
0.34882835,-1.033405,0.97200125,2.4157174
0.26547527,-0.9359777,0.90370905,2.6723895
0.31921682,-1.0193195,0.9881057,2.4195232
0.3798225,-1.1056471,0.7481457,2.4565372
0.21744838,-1.0376259,0.98709273,2.4282253
0.29091942,-0.82999057,1.0285211,2.542795
0.30021563,-0.97793454,0.90580195,2.5469682
0.33401433,-1.1332508,0.53866136,2.3205607
0.44085714,-1.0773473,1.0718087,2.4970043
0.31994402,-0.9155807,0.9748216,2.532708
0.3144407,-1.0278544,0.81213063,2.431784
0.2665666,-1.1215343,0.68410385,2.630849
0.36922085,-1.1080047,0.8189339,2.5618877
0.44398755,-0.9399853,0.93919706,2.5275557
0.3029873,-1.0900935,1.0883685,2.585412
0.36186573,-1.0046217,0.94590586,2.525814
0.33288446,-1.0233562,0.86417544,2.6736271
0.28384992,-1.011553,0.6791358,2.583829
0.35452992,-1.0243255,0.899143,2.527636
0.35737997,-1.1042982,0.7762893,2.449881
0.3286178,-0.9473935,0.96999085,2.6120965
0.34281424,-0.99602246,1.05682,2.5918186
0.3288589,-1.0363693,0.9225291,2.488295
0.28597096,-0.97341657,0.9499644,2.4772847
0.28937215,-0.9965371,0.8046009,2.6340191
0.38103515,-0.9567986,0.9073206,2.5232978
0.35210726,-0.9621323,1.032222,2.4581964
0.34768406,-0.98451513,0.9064113,2.5783343
0.33964565,-0.95909804,0.91921616,2.6937244
0.32615504,-1.0156558,1.149769,2.5473325
0.30382934,-1.000741,0.7336038,2.3555331
0.29778004,-0.98746586,0.8414448,2.5650861
0.32725644,-1.034282,0.83160895,2.6082351
0.37587622,-1.0234855,0.8195455,2.5358183
0.26783597,-1.0459683,0.7640301,2.5499384
0.29914922,-0.97725946,0.9812247,2.5286353
0.31963095,-0.857143,0.8772515,2.6025164
0.3243664,-0.9788727,1.0396912,2.5114167
0.4246446,-0.9542494,0.96041465,2.4128149
0.3264418,-1.0293596,0.8562439,2.5328329
0.299962,-1.0424061,0.7646016,2.5517216
0.29921842,-0.9473969,0.99995285,2.6224632
0.30964676,-0.988967,0.9988258,2.533149
0.2970162,-1.1704781,1.1790872,2.4956589
