sigma_rate,exp_b,beta
-0.02278794,2.512718,2.8177967
-0.049325295,2.423814,2.9939191
-0.025157828,2.7567794,2.8391097
0.012538971,2.9857278,2.9934487
0.0018647648,2.8205242,2.9586143
0.027474547,2.7690754,2.8645775
5.4057688e-05,2.7221637,2.9760282
-0.05920288,2.6568189,2.967612
-0.005362667,2.5174963,2.9414325
-0.03361726,2.5291224,2.960315
-0.065159366,2.9593625,2.876205
0.018658826,2.6702857,2.8943825
-0.06178984,2.5168686,2.9631364
-0.018633131,2.7071776,2.9181118
-0.040218912,2.6356332,2.8797798
-0.01992547,2.6363654,3.0063484
-0.017482353,2.919835,2.904129
-0.12096375,2.6436818,2.776217
-0.023671286,2.6593153,2.894557
-0.037901428,2.5304012,2.9409888
-0.004961647,2.9034133,2.9187896
-0.08824043,2.592698,2.9771075
-0.015779875,2.5981035,2.9681532
-0.0227357,2.5537965,2.8900838
-0.04857952,2.5775528,2.9598215
-0.059566967,2.785908,3.0599558
-0.039848678,2.8907228,2.9495776
-0.020199131,2.4893706,2.9431956
0.03867881,2.8194618,2.9846334
0.0016870778,2.6124923,3.010897
-0.01591428,2.635011,3.0612457
-0.056313574,2.4044309,2.850943
0.046184868,2.6572158,2.995141
0.06821622,2.7407796,2.9990518
-0.08953339,2.6743312,2.889692
-0.00097077154,2.7369018,2.9336524
-0.10424977,2.6867669,2.8541563
-0.015228816,2.8551638,2.7920685
-0.07125644,2.6629157,2.9453478
-0.018958766,2.9521227,2.9387178
-0.06050966,2.6473315,2.9879405
-0.007512672,2.3712034,2.9635284
-0.029930236,2.4963317,2.9021358
0.05378674,2.8140335,2.9831326
-0.008973571,2.9315677,2.9888582
-0.068847656,2.6544402,2.9112236
-0.035384893,2.7125037,2.992557
0.07173775,2.6730142,2.927467
-0.035959184,2.3447628,2.9887314
-0.060352877,2.4233663,2.9846323
-0.00933478,2.759944,2.9274094
-0.036830127,2.6048045,2.847344
-0.01054972,2.6152985,2.9973216
-0.021528764,2.5465536,2.84808
-0.06987425,2.632057,2.929914
-0.013982815,2.665032,2.9526243
0.00020656921,2.8145359,3.0350447
0.040597506,2.729978,3.0090837
-0.103401616,2.4337885,2.975651
-0.052046478,2.7999706,2.8326132
-0.052510425,2.5669153,2.911211
-0.08593067,2.473411,3.0234241
-0.025188452,2.4810958,2.9875665
-0.019281935,2.7929094,2.8779697
-0.08958344,2.5231414,2.9128551
-0.041623563,2.7948308,2.8163478
-0.10089881,2.5602267,2.8465095
0.02997273,2.683163,2.9473877
-0.013221256,2.7466247,2.9418225
-0.09785928,2.6519237,2.8936715
-0.022508863,2.587371,2.8847673
-0.032296777,2.7534442,2.921306
0.015830697,2.6158624,2.9315531
-0.008917224,2.5340137,2.957515
0.035734944,2.6302698,2.8828278
0.034446605,2.6044662,2.9207737
-0.03996568,2.6440725,2.9358041
-0.009727457,2.8644018,2.9305682
0.013294214,2.8333793,2.9173465
-0.017988278,2.5805984,2.9055984
-0.018920908,2.5085292,2.9537077
-0.032928687,2.6559913,2.9477572
0.024152813,2.4655921,3.044312
-0.032535832,2.749988,2.9272823
-0.08902443,2.7024674,2.7521076
0.06835771,2.759577,2.9455657
-0.028477032,2.839408,3.0555325
0.015203951,2.622578,2.8858485
0.02184655,2.8738253,2.9216044
-0.00938152,2.7428756,2.935613
0.013967419,2.3158104,2.944365
-0.10287045,2.5544906,2.8987384
-0.05024001,2.747599,2.82927
-0.02050833,2.8696861,3.1026552
0.08313752,2.962746,2.9053798
-0.04322107,2.5930462,2.924058
