sigma_rate,tan_a,tan_b,beta
2.3258345,-0.32229993,-1.953493,3.2713904
-2.2699244,-0.8093081,-1.4515765,1.7890888
1.045039,-0.6941794,-0.75025874,2.5850372
3.3006551,-0.55523324,-0.3524197,3.6650493
-2.3506176,-1.295796,-2.7967253,5.037064
2.8832002,-0.53263336,-0.73598284,2.3933334
2.447659,-1.0193223,-1.4743783,3.589474
1.1433114,-1.1620303,-1.2500135,3.8235521
-2.3837087,-1.0905545,-2.1052284,4.26653
3.0221376,-1.2575192,-1.5469539,2.2032866
1.8975166,-0.84883,-2.1237226,2.9471934
2.490625,-0.15375835,-1.946274,3.9704027
3.2610567,-0.22432514,-1.983898,2.120294
0.39765772,-1.2300364,-0.063438594,3.659835
-1.6832894,-0.7696073,-1.3298509,3.8715775
2.1840465,-0.70126253,-1.2544098,2.8896413
3.2430403,-0.46328864,-0.31149882,3.5828185
-1.383318,-0.894695,-1.4462547,3.6254086
3.700631,-0.5694124,-0.30864114,3.2416208
2.6703331,-0.1390541,-1.9978331,2.7658796
2.0115545,-0.59276175,-2.002754,3.0468588
2.715358,-0.17066208,-2.0453663,2.4197862
2.1239536,-0.5984156,-0.7785873,3.7729683
-1.5500355,-0.8071002,-1.3304394,3.8414428
0.5000386,-0.24904428,0.5294092,3.446536
-1.2436491,-0.6332872,-1.1879925,3.7414126
2.0034287,-0.6005112,-0.80096674,3.5258183
0.26450148,-1.0931243,-0.5445827,3.5602627
0.39002997,-0.62346166,-0.36725658,3.0100803
-0.64838153,-0.55110216,-1.724765,3.766328
0.81281084,-0.5562714,-2.1581128,3.9272428
-1.539889,-0.5747837,-0.2226401,2.6415608
2.4286456,-0.39817452,-1.4304448,3.7881246
2.2062976,-0.64565635,-1.3164357,4.3776045
-0.4185376,-0.69825554,-1.7000532,3.81005
-0.8047607,-0.4197609,0.43816984,4.709986
2.300311,-0.8777279,-1.2932853,3.1347706
-0.20254253,-0.34940886,-1.223457,4.037541
1.7696326,-1.3236854,-0.55143505,3.5358517
-1.2046329,-0.60329354,-1.1873308,3.878198
2.422013,-0.6874079,-2.8450265,2.2573674
0.6155333,-0.30985203,-1.6219739,3.6748106
0.21845388,-0.364494,0.3365054,2.5840695
2.7650926,-0.52142185,-1.1236908,2.5125875
3.2664106,-0.55964655,-0.2987344,3.58786
2.462685,-0.37969995,-1.6716204,3.968497
-0.05440993,-0.44076738,-1.925471,2.8078585
-0.2736225,-0.6269104,-1.9984305,4.0811386
-1.3462706,-0.7319688,-1.263684,3.774159
1.6961333,-0.99773645,-0.80810493,3.8852253
0.2259978,-0.39244244,0.05438038,1.2193782
-1.4069935,-0.6782213,-1.1179465,3.7618775
0.436195,-1.2421839,-1.6854187,3.359139
1.566974,-0.7438426,-1.9600579,3.7006748
-1.2566419,-0.37751698,-0.9792419,4.8852944
2.9640079,-0.36391968,-3.3259273,2.5781715
3.163466,-0.48364058,-0.12463672,1.82581
